ans = x0 alpha lambda iteraciones punto-final
ans = (1.50, -2.50) 0.789 0.789 10000 (1.00, -16.18)
ans = (1.50, -2.50) 0.789 0.894 10000 (1.00, -15.69)
ans = (1.50, -2.50) 0.789 1.000 10000 (1.00, -15.26)
ans = (1.50, -2.50) 0.894 0.050 3576 (-0.30, -25.58)
ans = (1.50, -2.50) 0.894 0.156 10000 (1.16, -24.95)
ans = (1.50, -2.50) 0.894 0.261 10000 (1.04, -21.94)
ans = (1.50, -2.50) 0.894 0.367 10000 (1.01, -20.16)
ans = (1.50, -2.50) 0.894 0.472 10000 (1.00, -18.94)
ans = (1.50, -2.50) 0.894 0.578 10000 (1.00, -18.02)
ans = (1.50, -2.50) 0.894 0.683 10000 (1.00, -17.29)
ans = (1.50, -2.50) 0.894 0.789 10000 (1.00, -16.69)
ans = (1.50, -2.50) 0.894 0.894 10000 (1.00, -16.18)
ans = (1.50, -2.50) 0.894 1.000 10000 (1.00, -15.74)
ans = (1.50, -2.50) 1.000 0.050 3200 (-0.55, -25.57)
ans = (1.50, -2.50) 1.000 0.156 9920 (1.17, -25.60)
ans = (1.50, -2.50) 1.000 0.261 10000 (1.04, -22.55)
ans = (1.50, -2.50) 1.000 0.367 10000 (1.01, -20.73)
ans = (1.50, -2.50) 1.000 0.472 10000 (1.00, -19.47)
ans = (1.50, -2.50) 1.000 0.578 10000 (0.99, -18.52)
ans = (1.50, -2.50) 1.000 0.683 10000 (0.99, -17.77)
ans = (1.50, -2.50) 1.000 0.789 10000 (0.99, -17.15)
ans = (1.50, -2.50) 1.000 0.894 10000 (0.99, -16.63)
ans = (1.50, -2.50) 1.000 1.000 10000 (0.99, -16.18)
ans = (1.50, 2.50) 0.050 0.050 10000 (4.87, 16.08)
ans = (1.50, 2.50) 0.050 0.156 10000 (5.03, 11.87)
ans = (1.50, 2.50) 0.050 0.261 10000 (4.80, 10.35)
ans = (1.50, 2.50) 0.050 0.367 10000 (4.62, 9.46)
ans = (1.50, 2.50) 0.050 0.472 10000 (4.48, 8.84)
ans = (1.50, 2.50) 0.050 0.578 10000 (4.36, 8.38)
ans = (1.50, 2.50) 0.050 0.683 10000 (4.26, 8.01)
ans = (1.50, 2.50) 0.050 0.789 10000 (4.18, 7.71)
ans = (1.50, 2.50) 0.050 0.894 10000 (4.10, 7.46)
ans = (1.50, 2.50) 0.050 1.000 10000 (4.04, 7.24)
ans = (1.50, 2.50) 0.156 0.050 10000 (5.56, 21.39)
ans = (1.50, 2.50) 0.156 0.156 10000 (5.84, 15.87)
ans = (1.50, 2.50) 0.156 0.261 10000 (5.59, 13.87)
ans = (1.50, 2.50) 0.156 0.367 10000 (5.40, 12.70)
ans = (1.50, 2.50) 0.156 0.472 10000 (5.25, 11.89)
ans = (1.50, 2.50) 0.156 0.578 10000 (5.12, 11.28)
ans = (1.50, 2.50) 0.156 0.683 10000 (5.02, 10.80)
ans = (1.50, 2.50) 0.156 0.789 10000 (4.93, 10.40)
ans = (1.50, 2.50) 0.156 0.894 10000 (4.85, 10.06)
ans = (1.50, 2.50) 0.156 1.000 10000 (4.78, 9.77)
ans = (1.50, 2.50) 0.261 0.050 10000 (5.88, 24.36)
ans = (1.50, 2.50) 0.261 0.156 10000 (6.24, 18.11)
ans = (1.50, 2.50) 0.261 0.261 10000 (5.98, 15.84)
ans = (1.50, 2.50) 0.261 0.367 10000 (5.78, 14.51)
ans = (1.50, 2.50) 0.261 0.472 10000 (5.62, 13.59)
ans = (1.50, 2.50) 0.261 0.578 10000 (5.49, 12.90)
ans = (1.50, 2.50) 0.261 0.683 10000 (5.38, 12.35)
ans = (1.50, 2.50) 0.261 0.789 10000 (5.29, 11.90)
ans = (1.50, 2.50) 0.261 0.894 10000 (5.21, 11.52)
ans = (1.50, 2.50) 0.261 1.000 10000 (5.13, 11.19)
ans = (1.50, 2.50) 0.367 0.050 8824 (5.99, 25.71)
ans = (1.50, 2.50) 0.367 0.156 10000 (6.51, 19.73)
ans = (1.50, 2.50) 0.367 0.261 10000 (6.25, 17.27)
ans = (1.50, 2.50) 0.367 0.367 10000 (6.04, 15.82)
ans = (1.50, 2.50) 0.367 0.472 10000 (5.88, 14.83)
ans = (1.50, 2.50) 0.367 0.578 10000 (5.74, 14.07)
ans = (1.50, 2.50) 0.367 0.683 10000 (5.63, 13.48)
ans = (1.50, 2.50) 0.367 0.789 10000 (5.53, 12.99)
ans = (1.50, 2.50) 0.367 0.894 10000 (5.45, 12.57)
ans = (1.50, 2.50) 0.367 1.000 10000 (5.37, 12.21)
ans = (1.50, 2.50) 0.472 0.050 6850 (5.95, 25.72)
ans = (1.50, 2.50) 0.472 0.156 10000 (6.73, 21.04)
ans = (1.50, 2.50) 0.472 0.261 10000 (6.46, 18.42)
ans = (1.50, 2.50) 0.472 0.367 10000 (6.24, 16.88)
ans = (1.50, 2.50) 0.472 0.472 10000 (6.07, 15.82)
ans = (1.50, 2.50) 0.472 0.578 10000 (5.94, 15.02)
ans = (1.50, 2.50) 0.472 0.683 10000 (5.82, 14.38)
ans = (1.50, 2.50) 0.472 0.789 10000 (5.72, 13.86)
ans = (1.50, 2.50) 0.472 0.894 10000 (5.63, 13.42)
ans = (1.50, 2.50) 0.472 1.000 10000 (5.56, 13.04)
ans = (1.50, 2.50) 0.578 0.050 5597 (5.90, 25.72)
ans = (1.50, 2.50) 0.578 0.156 10000 (6.90, 22.14)
ans = (1.50, 2.50) 0.578 0.261 10000 (6.63, 19.38)
ans = (1.50, 2.50) 0.578 0.367 10000 (6.41, 17.77)
ans = (1.50, 2.50) 0.578 0.472 10000 (6.23, 16.65)
ans = (1.50, 2.50) 0.578 0.578 10000 (6.09, 15.81)
ans = (1.50, 2.50) 0.578 0.683 10000 (5.97, 15.14)
ans = (1.50, 2.50) 0.578 0.789 10000 (5.87, 14.60)
ans = (1.50, 2.50) 0.578 0.894 10000 (5.79, 14.13)
ans = (1.50, 2.50) 0.578 1.000 10000 (5.71, 13.73)
ans = (1.50, 2.50) 0.683 0.050 4731 (5.84, 25.73)
ans = (1.50, 2.50) 0.683 0.156 10000 (7.06, 23.09)
ans = (1.50, 2.50) 0.683 0.261 10000 (6.77, 20.22)
ans = (1.50, 2.50) 0.683 0.367 10000 (6.55, 18.54)
ans = (1.50, 2.50) 0.683 0.472 10000 (6.37, 17.38)
ans = (1.50, 2.50) 0.683 0.578 10000 (6.23, 16.50)
ans = (1.50, 2.50) 0.683 0.683 10000 (6.11, 15.81)
ans = (1.50, 2.50) 0.683 0.789 10000 (6.00, 15.24)
ans = (1.50, 2.50) 0.683 0.894 10000 (5.91, 14.75)
ans = (1.50, 2.50) 0.683 1.000 10000 (5.83, 14.34)
ans = (1.50, 2.50) 0.789 0.050 4097 (5.79, 25.74)
ans = (1.50, 2.50) 0.789 0.156 10000 (7.19, 23.95)
ans = (1.50, 2.50) 0.789 0.261 10000 (6.90, 20.97)
ans = (1.50, 2.50) 0.789 0.367 10000 (6.67, 19.23)
ans = (1.50, 2.50) 0.789 0.472 10000 (6.49, 18.03)
ans = (1.50, 2.50) 0.789 0.578 10000 (6.34, 17.12)
ans = (1.50, 2.50) 0.789 0.683 10000 (6.22, 16.40)
ans = (1.50, 2.50) 0.789 0.789 10000 (6.12, 15.81)
ans = (1.50, 2.50) 0.789 0.894 10000 (6.03, 15.30)
ans = (1.50, 2.50) 0.789 1.000 10000 (5.94, 14.87)
ans = (1.50, 2.50) 0.894 0.050 3612 (5.73, 25.74)
ans = (1.50, 2.50) 0.894 0.156 10000 (7.31, 24.72)
ans = (1.50, 2.50) 0.894 0.261 10000 (7.02, 21.65)
ans = (1.50, 2.50) 0.894 0.367 10000 (6.78, 19.85)
ans = (1.50, 2.50) 0.894 0.472 10000 (6.60, 18.61)
ans = (1.50, 2.50) 0.894 0.578 10000 (6.45, 17.67)
ans = (1.50, 2.50) 0.894 0.683 10000 (6.32, 16.93)
ans = (1.50, 2.50) 0.894 0.789 10000 (6.22, 16.32)
ans = (1.50, 2.50) 0.894 0.894 10000 (6.12, 15.80)
ans = (1.50, 2.50) 0.894 1.000 10000 (6.04, 15.36)
ans = (1.50, 2.50) 1.000 0.050 3230 (5.67, 25.75)
ans = (1.50, 2.50) 1.000 0.156 10000 (7.42, 25.42)
ans = (1.50, 2.50) 1.000 0.261 10000 (7.12, 22.27)
ans = (1.50, 2.50) 1.000 0.367 10000 (6.88, 20.42)
ans = (1.50, 2.50) 1.000 0.472 10000 (6.70, 19.14)
ans = (1.50, 2.50) 1.000 0.578 10000 (6.54, 18.18)
ans = (1.50, 2.50) 1.000 0.683 10000 (6.42, 17.42)
ans = (1.50, 2.50) 1.000 0.789 10000 (6.31, 16.79)
ans = (1.50, 2.50) 1.000 0.894 10000 (6.21, 16.26)
ans = (1.50, 2.50) 1.000 1.000 10000 (6.13, 15.80)
ans = (0.00, 0.00) 0.050 0.050 153 (0.39, 0.61)
ans = (0.00, 0.00) 0.050 0.156 10000 (-8.17, -8.99)
ans = (0.00, 0.00) 0.050 0.261 10000 (-7.50, -7.41)
ans = (0.00, 0.00) 0.050 0.367 10000 (-7.02, -6.51)
ans = (0.00, 0.00) 0.050 0.472 10000 (-6.65, -5.89)
ans = (0.00, 0.00) 0.050 0.578 10000 (-6.35, -5.43)
ans = (0.00, 0.00) 0.050 0.683 10000 (-6.11, -5.07)
ans = (0.00, 0.00) 0.050 0.789 10000 (-5.90, -4.77)
ans = (0.00, 0.00) 0.050 0.894 10000 (-5.71, -4.52)
ans = (0.00, 0.00) 0.050 1.000 10000 (-5.55, -4.31)
ans = (0.00, 0.00) 0.156 0.050 46 (0.39, 0.61)
ans = (0.00, 0.00) 0.156 0.156 10000 (-10.06, -12.98)
ans = (0.00, 0.00) 0.156 0.261 10000 (-9.36, -10.90)
ans = (0.00, 0.00) 0.156 0.367 10000 (-8.84, -9.71)
ans = (0.00, 0.00) 0.156 0.472 10000 (-8.45, -8.90)
ans = (0.00, 0.00) 0.156 0.578 10000 (-8.13, -8.29)
ans = (0.00, 0.00) 0.156 0.683 10000 (-7.87, -7.81)
ans = (0.00, 0.00) 0.156 0.789 10000 (-7.65, -7.41)
ans = (0.00, 0.00) 0.156 0.894 10000 (-7.46, -7.08)
ans = (0.00, 0.00) 0.156 1.000 10000 (-7.28, -6.79)
ans = (0.00, 0.00) 0.261 0.050 10000 (11.97, 22.80)
ans = (0.00, 0.00) 0.261 0.156 10000 (-11.00, -15.19)
ans = (0.00, 0.00) 0.261 0.261 10000 (-10.27, -12.85)
ans = (0.00, 0.00) 0.261 0.367 10000 (-9.73, -11.50)
ans = (0.00, 0.00) 0.261 0.472 10000 (-9.32, -10.58)
ans = (0.00, 0.00) 0.261 0.578 10000 (-8.99, -9.89)
ans = (0.00, 0.00) 0.261 0.683 10000 (-8.72, -9.34)
ans = (0.00, 0.00) 0.261 0.789 10000 (-8.49, -8.89)
ans = (0.00, 0.00) 0.261 0.894 10000 (-8.29, -8.51)
ans = (0.00, 0.00) 0.261 1.000 10000 (-8.11, -8.19)
ans = (0.00, 0.00) 0.367 0.050 9000 (9.83, 25.03)
ans = (0.00, 0.00) 0.367 0.156 10000 (-11.65, -16.81)
ans = (0.00, 0.00) 0.367 0.261 10000 (-10.89, -14.27)
